timeline_sequence,case_id,event_id,timestamp,timestamp_end,timestamp_confidence,source,artifact_type,event_type,action,user,host,process,parent_process,process_id,parent_process_id,command_line,file,file_path,file_hash,device,ip_src,ip_dst,port_src,port_dst,protocol,parent_event_id,related_event_id,relationship,evidence_id,provenance
63,M57-Jean,EVT-M57-Jean-PARENT-11,2009-11-21 01:34:48+00:00,,observed,memory,pstree,process_relationship,parent_of,,,avgcsrvx.exe,,1356,2296.0,,,,,,,,,,,,,parent_of,M57-Jean-MEM-PSTREE-11,Volatility 3 windows.pstree from M57-Jean memory image
64,M57-Jean,EVT-M57-Jean-PROCESS-32,2009-11-21 01:34:48+00:00,,observed,memory,pslist,process,process_start,,,avgcsrvx.exe,,1356,2296.0,,,,,,,,,,,,,,M57-Jean-MEM-PSLIST-32,Volatility 3 windows.pslist from M57-Jean memory image
65,M57-Jean,EVT-M57-Jean-PARENT-43,2009-11-23 16:55:12+00:00,,observed,memory,pstree,process_relationship,parent_of,,,iexplore.exe,,1204,3180.0,,,,,,,,,,,,,parent_of,M57-Jean-MEM-PSTREE-43,Volatility 3 windows.pstree from M57-Jean memory image
66,M57-Jean,EVT-M57-Jean-PROCESS-33,2009-11-23 16:55:12+00:00,,observed,memory,pslist,process,process_start,,,iexplore.exe,,1204,3180.0,,,,,,,,,,,,,,M57-Jean-MEM-PSLIST-33,Volatility 3 windows.pslist from M57-Jean memory image
67,M57-Jean,EVT-M57-Jean-PARENT-41,2009-11-23 16:55:19+00:00,,observed,memory,pstree,process_relationship,parent_of,,,msimn.exe,,208,1944.0,,,,,,,,,,,,,parent_of,M57-Jean-MEM-PSTREE-41,Volatility 3 windows.pstree from M57-Jean memory image
68,M57-Jean,EVT-M57-Jean-PROCESS-34,2009-11-23 16:55:19+00:00,,observed,memory,pslist,process,process_start,,,msimn.exe,,208,1944.0,,,,,,,,,,,,,,M57-Jean-MEM-PSLIST-34,Volatility 3 windows.pslist from M57-Jean memory image
69,M57-Jean,EVT-M57-Jean-PARENT-44,2009-11-23 17:04:51+00:00,,observed,memory,pstree,process_relationship,parent_of,,,iexplore.exe,,3992,3180.0,,,,,,,,,,,,,parent_of,M57-Jean-MEM-PSTREE-44,Volatility 3 windows.pstree from M57-Jean memory image
70,M57-Jean,EVT-M57-Jean-PARENT-45,2009-11-23 17:04:51+00:00,,observed,memory,pstree,process_relationship,parent_of,,,iexplore.exe,,2840,3180.0,,,,,,,,,,,,,parent_of,M57-Jean-MEM-PSTREE-45,Volatility 3 windows.pstree from M57-Jean memory image
71,M57-Jean,EVT-M57-Jean-PROCESS-35,2009-11-23 17:04:51+00:00,,observed,memory,pslist,process,process_start,,,iexplore.exe,,3992,3180.0,,,,,,,,,,,,,,M57-Jean-MEM-PSLIST-35,Volatility 3 windows.pslist from M57-Jean memory image
72,M57-Jean,EVT-M57-Jean-PROCESS-36,2009-11-23 17:04:51+00:00,,observed,memory,pslist,process,process_start,,,iexplore.exe,,2840,3180.0,,,,,,,,,,,,,,M57-Jean-MEM-PSLIST-36,Volatility 3 windows.pslist from M57-Jean memory image
73,M57-Jean,EVT-M57-Jean-PARENT-46,2009-11-23 17:14:39+00:00,,observed,memory,pstree,process_relationship,parent_of,,,iexplore.exe,,4028,3180.0,,,,,,,,,,,,,parent_of,M57-Jean-MEM-PSTREE-46,Volatility 3 windows.pstree from M57-Jean memory image
74,M57-Jean,EVT-M57-Jean-PROCESS-37,2009-11-23 17:14:39+00:00,,observed,memory,pslist,process,process_start,,,iexplore.exe,,4028,3180.0,,,,,,,,,,,,,,M57-Jean-MEM-PSLIST-37,Volatility 3 windows.pslist from M57-Jean memory image
75,M57-Jean,EVT-M57-Jean-PARENT-12,2009-11-23 18:22:09+00:00,,observed,memory,pstree,process_relationship,parent_of,,,avgsrmax.exe,,3196,1664.0,,,,,,,,,,,,,parent_of,M57-Jean-MEM-PSTREE-12,Volatility 3 windows.pstree from M57-Jean memory image
76,M57-Jean,EVT-M57-Jean-PROCESS-38,2009-11-23 18:22:09+00:00,,observed,memory,pslist,process,process_start,,,avgsrmax.exe,,3196,1664.0,,,,,,,,,,,,,,M57-Jean-MEM-PSLIST-38,Volatility 3 windows.pslist from M57-Jean memory image
77,M57-Jean,EVT-M57-Jean-PARENT-37,2009-11-23 22:03:35+00:00,,observed,memory,pstree,process_relationship,parent_of,,,firefox.exe,,2892,1944.0,,,,,,,,,,,,,parent_of,M57-Jean-MEM-PSTREE-37,Volatility 3 windows.pstree from M57-Jean memory image
78,M57-Jean,EVT-M57-Jean-PROCESS-39,2009-11-23 22:03:35+00:00,,observed,memory,pslist,process,process_start,,,firefox.exe,,2892,1944.0,,,,,,,,,,,,,,M57-Jean-MEM-PSLIST-39,Volatility 3 windows.pslist from M57-Jean memory image
79,M57-Jean,EVT-M57-Jean-PARENT-47,2009-11-23 22:08:45+00:00,,observed,memory,pstree,process_relationship,parent_of,,,iexplore.exe,,2576,176.0,,,,,,,,,,,,,parent_of,M57-Jean-MEM-PSTREE-47,Volatility 3 windows.pstree from M57-Jean memory image
80,M57-Jean,EVT-M57-Jean-PROCESS-40,2009-11-23 22:08:45+00:00,,observed,memory,pslist,process,process_start,,,iexplore.exe,,2576,176.0,,,,,,,,,,,,,,M57-Jean-MEM-PSLIST-40,Volatility 3 windows.pslist from M57-Jean memory image
81,M57-Jean,EVT-M57-Jean-PARENT-31,2009-11-23 22:16:33+00:00,,observed,memory,pstree,process_relationship,parent_of,,,swriter.exe,,2080,1944.0,,,,,,,,,,,,,parent_of,M57-Jean-MEM-PSTREE-31,Volatility 3 windows.pstree from M57-Jean memory image
82,M57-Jean,EVT-M57-Jean-PROCESS-41,2009-11-23 22:16:33+00:00,,observed,memory,pslist,process,process_start,,,swriter.exe,,2080,1944.0,,,,,,,,,,,,,,M57-Jean-MEM-PSLIST-41,Volatility 3 windows.pslist from M57-Jean memory image
83,M57-Jean,EVT-M57-Jean-PARENT-32,2009-11-23 22:16:34+00:00,,observed,memory,pstree,process_relationship,parent_of,,,soffice.exe,,3908,2080.0,,,,,,,,,,,,,parent_of,M57-Jean-MEM-PSTREE-32,Volatility 3 windows.pstree from M57-Jean memory image
84,M57-Jean,EVT-M57-Jean-PROCESS-42,2009-11-23 22:16:34+00:00,,observed,memory,pslist,process,process_start,,,soffice.exe,,3908,2080.0,,,,,,,,,,,,,,M57-Jean-MEM-PSLIST-42,Volatility 3 windows.pslist from M57-Jean memory image
85,M57-Jean,EVT-M57-Jean-PARENT-33,2009-11-23 22:16:35+00:00,,observed,memory,pstree,process_relationship,parent_of,,,soffice.bin,,3560,3908.0,,,,,,,,,,,,,parent_of,M57-Jean-MEM-PSTREE-33,Volatility 3 windows.pstree from M57-Jean memory image
86,M57-Jean,EVT-M57-Jean-PROCESS-43,2009-11-23 22:16:35+00:00,,observed,memory,pslist,process,process_start,,,soffice.bin,,3560,3908.0,,,,,,,,,,,,,,M57-Jean-MEM-PSLIST-43,Volatility 3 windows.pslist from M57-Jean memory image
87,M57-Jean,EVT-M57-Jean-PARENT-7,2009-11-23 22:54:41+00:00,,observed,memory,pstree,process_relationship,parent_of,,,avgcmgr.exe,,2308,1664.0,,,,,,,,,,,,,parent_of,M57-Jean-MEM-PSTREE-7,Volatility 3 windows.pstree from M57-Jean memory image
88,M57-Jean,EVT-M57-Jean-PROCESS-44,2009-11-23 22:54:41+00:00,,observed,memory,pslist,process,process_start,,,avgcmgr.exe,,2308,1664.0,,,,,,,,,,,,,,M57-Jean-MEM-PSLIST-44,Volatility 3 windows.pslist from M57-Jean memory image
89,M57-Jean,EVT-M57-Jean-PARENT-9,2009-11-23 23:52:45+00:00,,observed,memory,pstree,process_relationship,parent_of,,,avgcmgr.exe,,2004,1664.0,,,,,,,,,,,,,parent_of,M57-Jean-MEM-PSTREE-9,Volatility 3 windows.pstree from M57-Jean memory image
90,M57-Jean,EVT-M57-Jean-PROCESS-45,2009-11-23 23:52:45+00:00,,observed,memory,pslist,process,process_start,,,avgcmgr.exe,,2004,1664.0,,,,,,,,,,,,,,M57-Jean-MEM-PSLIST-45,Volatility 3 windows.pslist from M57-Jean memory image
91,M57-Jean,EVT-M57-Jean-PARENT-38,2009-11-23 23:59:25+00:00,,observed,memory,pstree,process_relationship,parent_of,,,cmd.exe,,620,1944.0,,,,,,,,,,,,,parent_of,M57-Jean-MEM-PSTREE-38,Volatility 3 windows.pstree from M57-Jean memory image
92,M57-Jean,EVT-M57-Jean-PROCESS-46,2009-11-23 23:59:25+00:00,,observed,memory,pslist,process,process_start,,,cmd.exe,,620,1944.0,,,,,,,,,,,,,,M57-Jean-MEM-PSLIST-46,Volatility 3 windows.pslist from M57-Jean memory image
93,M57-Jean,EVT-M57-Jean-PARENT-39,2009-11-24 00:01:24+00:00,,observed,memory,pstree,process_relationship,parent_of,,,mdd_1.3.exe,,2992,620.0,,,,,,,,,,,,,parent_of,M57-Jean-MEM-PSTREE-39,Volatility 3 windows.pstree from M57-Jean memory image
94,M57-Jean,EVT-M57-Jean-PROCESS-47,2009-11-24 00:01:24+00:00,,observed,memory,pslist,process,process_start,,,mdd_1.3.exe,,2992,620.0,,,,,,,,,,,,,,M57-Jean-MEM-PSLIST-47,Volatility 3 windows.pslist from M57-Jean memory image
