case_id,event_id,timestamp,timestamp_end,timestamp_confidence,source,artifact_type,event_type,action,user,host,process,parent_process,process_id,parent_process_id,command_line,file,file_path,file_hash,device,ip_src,ip_dst,port_src,port_dst,protocol,parent_event_id,related_event_id,relationship,evidence_id,provenance
M57-Jean,EVT-M57-Jean-DLL-8,,,unknown,memory,dlllist,module,loaded,,,csrss.exe,,908,,,sxs.dll,C:\\WINDOWS\\system32\\sxs.dll,,,,,,,,,,,M57-Jean-MEM-DLL-8,Volatility 3 windows.dlllist from M57-Jean memory image
M57-Jean,EVT-M57-Jean-DLL-9,,,unknown,memory,dlllist,module,loaded,,,csrss.exe,,908,,,ADVAPI32.dll,C:\\WINDOWS\\system32\\ADVAPI32.dll,,,,,,,,,,,M57-Jean-MEM-DLL-9,Volatility 3 windows.dlllist from M57-Jean memory image
M57-Jean,EVT-M57-Jean-DLL-10,,,unknown,memory,dlllist,module,loaded,,,csrss.exe,,908,,,RPCRT4.dll,C:\\WINDOWS\\system32\\RPCRT4.dll,,,,,,,,,,,M57-Jean-MEM-DLL-10,Volatility 3 windows.dlllist from M57-Jean memory image
M57-Jean,EVT-M57-Jean-DLL-11,,,unknown,memory,dlllist,module,loaded,,,csrss.exe,,908,,,Secur32.dll,C:\\WINDOWS\\system32\\Secur32.dll,,,,,,,,,,,M57-Jean-MEM-DLL-11,Volatility 3 windows.dlllist from M57-Jean memory image
M57-Jean,EVT-M57-Jean-DLL-12,,,unknown,memory,dlllist,module,loaded,,,csrss.exe,,908,,,Apphelp.dll,C:\\WINDOWS\\system32\\Apphelp.dll,,,,,,,,,,,M57-Jean-MEM-DLL-12,Volatility 3 windows.dlllist from M57-Jean memory image
M57-Jean,EVT-M57-Jean-DLL-13,,,unknown,memory,dlllist,module,loaded,,,csrss.exe,,908,,,VERSION.dll,C:\\WINDOWS\\system32\\VERSION.dll,,,,,,,,,,,M57-Jean-MEM-DLL-13,Volatility 3 windows.dlllist from M57-Jean memory image
M57-Jean,EVT-M57-Jean-DLL-14,,,unknown,memory,dlllist,module,loaded,,,winlogon.exe,,932,,,winlogon.exe,\\??\\C:\\WINDOWS\\system32\\winlogon.exe,,,,,,,,,,,M57-Jean-MEM-DLL-14,Volatility 3 windows.dlllist from M57-Jean memory image
M57-Jean,EVT-M57-Jean-DLL-15,,,unknown,memory,dlllist,module,loaded,,,winlogon.exe,,932,,,ntdll.dll,C:\\WINDOWS\\system32\\ntdll.dll,,,,,,,,,,,M57-Jean-MEM-DLL-15,Volatility 3 windows.dlllist from M57-Jean memory image
M57-Jean,EVT-M57-Jean-DLL-16,,,unknown,memory,dlllist,module,loaded,,,winlogon.exe,,932,,,kernel32.dll,C:\\WINDOWS\\system32\\kernel32.dll,,,,,,,,,,,M57-Jean-MEM-DLL-16,Volatility 3 windows.dlllist from M57-Jean memory image
M57-Jean,EVT-M57-Jean-DLL-17,,,unknown,memory,dlllist,module,loaded,,,winlogon.exe,,932,,,ADVAPI32.dll,C:\\WINDOWS\\system32\\ADVAPI32.dll,,,,,,,,,,,M57-Jean-MEM-DLL-17,Volatility 3 windows.dlllist from M57-Jean memory image
