case_id,logical_event_id,temporal_sequence,timestamp,process_id,process,graph_anomaly_score,graph_predicted_anomaly,graph_anomaly_rank,value_gap_log_seconds,shap_gap_log_seconds,value_local_density_10s,shap_local_density_10s,value_local_density_30s,shap_local_density_30s,value_local_density_60s,shap_local_density_60s,value_process_changed,shap_process_changed,value_parent_count,shap_parent_count,value_child_count,shap_child_count,value_graph_degree,shap_graph_degree,value_in_degree,shap_in_degree,value_out_degree,shap_out_degree,value_command_line_count,shap_command_line_count,value_module_count,shap_module_count,value_memory_region_count,shap_memory_region_count,value_relationship_type_count,shap_relationship_type_count
M57-Jean,LEVT-M57-Jean-PROCESS-1796-20091121013301,19,2009-11-21 01:33:01+00:00,1796,avgfws9.exe,-0.0844564769559181,False,21,0.0,0.13147267234694685,34,0.12240722778378017,34,0.08839280902133528,34,0.0788341767126461,1,0.15529392863723399,1,0.0,0,0.14777085976600798,89,-0.3059240770167071,1,0.0,88,-0.29015337281260406,1,0.192815650579492,87,-0.32495799800636804,0,-0.003911034384504703,3,-0.08437557162594433
M57-Jean,LEVT-M57-Jean-PROCESS-1248-20091121013234,7,2009-11-21 01:32:34+00:00,1248,svchost.exe,-0.0875725078764863,False,22,0.0,0.12273026285151119,33,0.14779521042955632,33,0.14445730935804568,33,0.12781154694829192,0,-1.3522480761493008,1,0.0,0,0.1355720153408749,41,0.059972612978334644,1,0.0,40,0.07940352650636762,1,0.19700191033391218,38,0.07311502731423102,1,0.10276388626654757,4,0.1331009653078696
M57-Jean,LEVT-M57-Jean-PROCESS-3196-20091123182209,38,2009-11-23 18:22:09+00:00,3196,avgsrmax.exe,-0.0950074277746574,False,23,8.30671904320269,-0.15329605254130504,6,-0.23525745046638907,15,-0.01592156728830982,15,-0.08411874535573703,1,0.19347511684566876,1,0.0,0,0.1085065266895188,1,0.1055340785082246,1,0.0,0,0.11070514603251469,0,-0.0921818847496125,0,0.11790603063325397,0,0.11122681432373721,1,-0.04116319683642862
M57-Jean,LEVT-M57-Jean-PROCESS-2488-20091121013317,30,2009-11-21 01:33:17+00:00,2488,avgcsrvx.exe,-0.0972485404283393,False,24,1.3862943611198906,0.08460841523851681,32,0.08971844156888237,32,0.02707311811370829,32,0.036551973357871755,1,0.1704072378185438,1,0.0,0,0.13338019147102995,1,0.0689677426698778,1,0.0,0,0.07426681405691576,0,-0.389417662500897,0,0.1099103525374892,0,0.09564174477693872,1,-0.3288177521724188
M57-Jean,LEVT-M57-Jean-PROCESS-2576-20091123220845,40,2009-11-23 22:08:45+00:00,2576,iexplore.exe,-0.1017416713557904,False,25,5.739792912179234,-0.09693885390644405,9,-0.07563133709533862,15,-0.02421749238941648,15,-0.08079673468094047,1,0.1930029781548205,1,0.0,0,0.11428696442367892,1,0.11072512808820924,1,0.0,0,0.11670749406090966,0,-0.14681722952720822,0,0.11658937715325153,0,0.11315763484680857,1,-0.07312292598025047
M57-Jean,LEVT-M57-Jean-PROCESS-2308-20091123225441,44,2009-11-23 22:54:41+00:00,2308,avgcmgr.exe,-0.1043146076217172,False,26,7.734996194022781,-0.11850576821354857,9,-0.05951333111887009,15,-0.014821982859328488,15,-0.07096676682241275,1,0.200096518113605,1,0.0,0,0.11216134287017697,1,0.10774394942440771,1,0.0,0,0.11480738631899037,0,-0.12050537194269278,0,0.11858843182144459,0,0.1117349470477079,1,-0.05926090010651162
M57-Jean,LEVT-M57-Jean-PROCESS-812-20091121013230,1,2009-11-21 01:32:30+00:00,812,smss.exe,-0.1084442775265002,False,27,1.0986122886681098,0.13908189859213987,32,0.14067838764475948,32,0.08156548377943339,32,0.0860013982451948,1,0.15527617609849664,1,0.0,2,-0.3737636036956878,4,0.019714587028476727,1,0.0,3,0.044969484420583274,1,0.12447937931365696,0,0.07131304853027101,0,0.08234984573932978,2,-0.16181526484098396
M57-Jean,LEVT-M57-Jean-PROCESS-1620-20091121013235,11,2009-11-21 01:32:35+00:00,1620,avgrsx.exe,-0.1115733982192455,False,28,0.0,0.11173490470890395,35,0.014647810430335067,35,-0.05145666265926763,35,-0.05603643038524993,1,0.15953688950314987,1,0.0,1,-0.023331953886179806,13,0.017208481393626456,1,0.0,12,0.029284782381315218,1,0.1860289928360139,10,0.01486644222905355,0,0.03451985212467896,3,0.040277265040156954
M57-Jean,LEVT-M57-Jean-PROCESS-1504-20091121013305,21,2009-11-21 01:33:05+00:00,1504,hkcmd.exe,-0.1140152248641443,False,29,1.6094379124341005,0.014097008811448809,34,0.13141377051310418,34,0.05670783856420615,34,0.05155883224701439,1,0.16494008989886624,1,0.0,0,0.1352146857054322,2,0.09450494049432645,1,0.0,1,0.09445005476398145,0,-0.343706275940959,0,0.10062025657398717,1,0.06914197441337473,2,-0.03872250751486804
M57-Jean,LEVT-M57-Jean-PROCESS-1356-20091121013448,32,2009-11-21 01:34:48+00:00,1356,avgcsrvx.exe,-0.1147093356506139,False,30,4.30406509320417,-0.3950775718663483,32,0.1212789019043428,32,0.038283418696027006,32,0.07304408603954446,1,0.1625626981226504,1,0.0,0,0.15104939821918514,2,0.0963488312628092,1,0.0,1,0.09147700872579721,1,0.09486784096679879,0,0.08560922498238423,0,0.1136665376319248,2,-0.08778908094479482
M57-Jean,LEVT-M57-Jean-PROCESS-908-20091121013232,2,2009-11-21 01:32:32+00:00,908,csrss.exe,-0.116208724625895,False,31,1.0986122886681098,0.059829275776905944,35,0.033973742426456996,35,-0.04060956904991479,35,-0.024654080661925364,1,0.17086125839469066,1,0.0,0,0.14448117835761493,18,0.023810244573959884,1,0.0,17,0.01640480086875604,1,0.19728057664568713,14,0.011757292219152378,2,-0.12304766605736055,4,0.10793289850040444
