case_id,logical_event_id,temporal_sequence,timestamp,process_id,process,graph_only_anomaly_rank,graph_only_anomaly_score,graph_only_predicted_anomaly,shap_parent_count,shap_child_count,shap_graph_degree,shap_in_degree,shap_out_degree,shap_command_line_count,shap_module_count,shap_memory_region_count,shap_relationship_type_count,shap_total_abs,top_graph_feature,top_graph_feature_shap
M57-Jean,LEVT-M57-Jean-PROCESS-908-20091121013232,2,2009-11-21 01:32:32+00:00,908,csrss.exe,21,-0.1230177501430377,False,0.0,0.22568746650261565,-0.04960015094396756,0.0,-0.036869060721356664,0.33351974232404397,0.022226377829168344,-0.2881795140043853,0.07575423273859574,1.0318365450641334,command_line_count,0.33351974232404397
M57-Jean,LEVT-M57-Jean-PROCESS-1620-20091121013235,11,2009-11-21 01:32:35+00:00,1620,avgrsx.exe,22,-0.1320814027978849,False,0.0,-0.012486088707513018,-0.053477737333321146,0.0,-0.010850756472548257,0.28004340917810383,0.041513405882994396,0.18830070402156845,0.049807412020182754,0.6364795136162319,command_line_count,0.28004340917810383
M57-Jean,LEVT-M57-Jean-PROCESS-1612-20091121013235,10,2009-11-21 01:32:35+00:00,1612,avgchsvx.exe,23,-0.1393804036946022,False,0.0,0.18389567770619902,0.21080651790128685,0.0,0.19966965521247215,-0.1748791463076694,0.1675430260305921,0.21826108705692726,-0.15813235622321045,1.3131874664383572,memory_region_count,0.21826108705692726
M57-Jean,LEVT-M57-Jean-PROCESS-3196-20091123182209,38,2009-11-23 18:22:09+00:00,3196,avgsrmax.exe,24,-0.1393804036946022,False,0.0,0.18389567770619902,0.21080651790128685,0.0,0.19966965521247215,-0.1748791463076694,0.1675430260305921,0.21826108705692726,-0.15813235622321045,1.3131874664383572,memory_region_count,0.21826108705692726
M57-Jean,LEVT-M57-Jean-PROCESS-2576-20091123220845,40,2009-11-23 22:08:45+00:00,2576,iexplore.exe,25,-0.1393804036946022,False,0.0,0.18389567770619902,0.21080651790128685,0.0,0.19966965521247215,-0.1748791463076694,0.1675430260305921,0.21826108705692726,-0.15813235622321045,1.3131874664383572,memory_region_count,0.21826108705692726
M57-Jean,LEVT-M57-Jean-PROCESS-2004-20091123235245,45,2009-11-23 23:52:45+00:00,2004,avgcmgr.exe,26,-0.1393804036946022,False,0.0,0.18389567770619902,0.21080651790128685,0.0,0.19966965521247215,-0.1748791463076694,0.1675430260305921,0.21826108705692726,-0.15813235622321045,1.3131874664383572,memory_region_count,0.21826108705692726
M57-Jean,LEVT-M57-Jean-PROCESS-2308-20091123225441,44,2009-11-23 22:54:41+00:00,2308,avgcmgr.exe,27,-0.1393804036946022,False,0.0,0.18389567770619902,0.21080651790128685,0.0,0.19966965521247215,-0.1748791463076694,0.1675430260305921,0.21826108705692726,-0.15813235622321045,1.3131874664383572,memory_region_count,0.21826108705692726
M57-Jean,LEVT-M57-Jean-PROCESS-4028-20091123171439,37,2009-11-23 17:14:39+00:00,4028,iexplore.exe,28,-0.1393804036946022,False,0.0,0.18389567770619902,0.21080651790128685,0.0,0.19966965521247215,-0.1748791463076694,0.1675430260305921,0.21826108705692726,-0.15813235622321045,1.3131874664383572,memory_region_count,0.21826108705692726
M57-Jean,LEVT-M57-Jean-PROCESS-3992-20091123170451,36,2009-11-23 17:04:51+00:00,3992,iexplore.exe,29,-0.1393804036946022,False,0.0,0.18389567770619902,0.21080651790128685,0.0,0.19966965521247215,-0.1748791463076694,0.1675430260305921,0.21826108705692726,-0.15813235622321045,1.3131874664383572,memory_region_count,0.21826108705692726
M57-Jean,LEVT-M57-Jean-PROCESS-2488-20091121013317,30,2009-11-21 01:33:17+00:00,2488,avgcsrvx.exe,30,-0.1393804036946022,False,0.0,0.18389567770619902,0.21080651790128685,0.0,0.19966965521247215,-0.1748791463076694,0.1675430260305921,0.21826108705692726,-0.15813235622321045,1.3131874664383572,memory_region_count,0.21826108705692726
